lr,lbc_T1,lbc_T2,lbi,b1,b2,resnet_neck,features,Objective Value
0.00022097498963170908,11,12,0.05081634604845428,0.5632424439427146,0.9341514635154016,8,64,0.27644073963165283
0.00010898101189905548,10,11,0.0641493257120164,0.5212016777141872,0.9260079873049116,7,64,0.34584200382232666
0.0002677088730273396,9,11,0.06501775961616545,0.21228116487071516,0.9985158818829669,6,64,0.17970424890518188
0.0005591570758566751,10,9,0.10695956813482471,0.5287624906318662,0.9720404280758823,6,64,0.3614465296268463
0.000636015139195137,8,8,0.068990664068279,0.3598655432818024,0.978619261830915,5,64,0.15046975016593933
0.00010133792400389999,8,12,0.0515383123777882,0.30247190370480886,0.9283549440644419,5,64,0.2904670834541321
0.0008722002955578696,12,7,0.14724134630192137,0.45669778170167,0.962437887700847,6,64,0.3962533473968506
0.0004093473929154308,12,9,0.10862546226996944,0.5956148845973517,0.903550961105066,5,64,0.3210892677307129
0.0005465884678746396,10,7,0.12778492487066356,0.5123972240589079,0.961572346479389,6,64,0.4180794060230255
0.0001870706570089879,10,8,0.07680392179312545,0.4906440832307372,0.9678010279617112,9,64,0.33225226402282715
0.0001930718202642062,10,8,0.0714746645682954,0.48388422290044414,0.9663752497271176,9,64,0.5392880439758301
0.00032285339452287905,10,7,0.08108615922746469,0.4847406071751936,0.9760215117113465,9,64,0.4070874750614166
0.0002714986230357049,10,7,0.06570698555110381,0.5276263872765896,0.9763643617340566,9,64,0.4005395472049713
0.0004612638307254053,11,7,0.07821280765731918,0.5163824602852427,0.9568403539332836,9,64,0.3960897922515869
0.00021400915587641548,7,7,0.050122706559731556,0.5976207986693445,0.9775693055512216,7,64,0.35776710510253906
0.00014326277626555025,8,7,0.0558001478929505,0.5979410008816519,0.9606254049999533,7,64,0.37368619441986084
0.00022097498963170908,11,12,0.05081634604845428,0.5632424439427146,0.9341514635154016,8,64,0.27644073963165283
0.00010898101189905548,10,11,0.0641493257120164,0.5212016777141872,0.9260079873049116,7,64,0.34584200382232666
0.0002677088730273396,9,11,0.06501775961616545,0.21228116487071516,0.9985158818829669,6,64,0.17970424890518188
0.0005591570758566751,10,9,0.10695956813482471,0.5287624906318662,0.9720404280758823,6,64,0.3614465296268463
0.000636015139195137,8,8,0.068990664068279,0.3598655432818024,0.978619261830915,5,64,0.15046975016593933
0.00010133792400389999,8,12,0.0515383123777882,0.30247190370480886,0.9283549440644419,5,64,0.2904670834541321
0.0008722002955578696,12,7,0.14724134630192137,0.45669778170167,0.962437887700847,6,64,0.3962533473968506
0.0004093473929154308,12,9,0.10862546226996944,0.5956148845973517,0.903550961105066,5,64,0.3210892677307129
0.0005465884678746396,10,7,0.12778492487066356,0.5123972240589079,0.961572346479389,6,64,0.4180794060230255
0.0001870706570089879,10,8,0.07680392179312545,0.4906440832307372,0.9678010279617112,9,64,0.33225226402282715
0.0001930718202642062,10,8,0.0714746645682954,0.48388422290044414,0.9663752497271176,9,64,0.5392880439758301
0.00032285339452287905,10,7,0.08108615922746469,0.4847406071751936,0.9760215117113465,9,64,0.4070874750614166
0.0002714986230357049,10,7,0.06570698555110381,0.5276263872765896,0.9763643617340566,9,64,0.4005395472049713
0.0004612638307254053,11,7,0.07821280765731918,0.5163824602852427,0.9568403539332836,9,64,0.3960897922515869
